A,B,C
POLE,IMAGE-I syndrome, Autosomal recessive
CRCS12,FILS syndrome, Autosomal recessive
CRCS12,IMAGE-I syndrome, Autosomal recessive
FILS,FILS syndrome, Autosomal recessive
FILS,IMAGE-I syndrome, Autosomal recessive
IMAGEI,FILS syndrome, Autosomal recessive
IMAGEI,IMAGE-I syndrome, Autosomal recessive
ANKLE2,Microcephaly 16, Autosomal recessive
LEM4,Microcephaly 16, Autosomal recessive
KIAA0692,Microcephaly 16, Autosomal recessive
MCPH16,Microcephaly 16, Autosomal recessive
GJB2,Deafness, Digenic dominant
CX26,Deafness, Digenic dominant
DFNB1A,Deafness, Digenic dominant
PPK,Deafness, Digenic dominant
DFNA3A,Deafness, Digenic dominant
KID,Deafness, Digenic dominant
HID,Deafness, Digenic dominant
GJB6,Deafness, Autosomal recessive
GJB6,Deafness, Digenic dominant
CX30,Deafness, Autosomal recessive
CX30,Deafness, Digenic dominant
DFNA3B,Deafness, Autosomal recessive
DFNA3B,Deafness, Digenic dominant
DFNB1B,Deafness, Autosomal recessive
DFNB1B,Deafness, Digenic dominant
ECTD2,Deafness, Autosomal recessive
ECTD2,Deafness, Digenic dominant
HED2,Deafness, Autosomal recessive
HED2,Deafness, Digenic dominant
SGCG,Muscular dystrophy, Autosomal recessive
LGMDR5,Muscular dystrophy, Autosomal recessive
DMDA1,Muscular dystrophy, Autosomal recessive
SCG3,Muscular dystrophy, Autosomal recessive
SACS,Spastic ataxia, Autosomal recessive
ARSACS,Spastic ataxia, Autosomal recessive
MIPEP,Combined oxidative phosphorylation deficiency 31, Autosomal recessive
COXPD31,Combined oxidative phosphorylation deficiency 31, Autosomal recessive
CENPJ,Microcephaly 6, Autosomal recessive
CENPJ,Seckel syndrome 4, Autosomal recessive
CPAP,Microcephaly 6, Autosomal recessive
CPAP,Seckel syndrome 4, Autosomal recessive
MCPH6,Microcephaly 6, Autosomal recessive
MCPH6,Seckel syndrome 4, Autosomal recessive
SCKL4,Microcephaly 6, Autosomal recessive
SCKL4,Seckel syndrome 4, Autosomal recessive
ATP8A2,Cerebellar ataxia, Autosomal recessive
ATPIB,Cerebellar ataxia, Autosomal recessive
CAMRQ4,Cerebellar ataxia, Autosomal recessive
POLR1D,Treacher Collins syndrome 2, Autosomal dominant
RPA16,Treacher Collins syndrome 2, Autosomal dominant
RPAC2,Treacher Collins syndrome 2, Autosomal dominant
TCS2,Treacher Collins syndrome 2, Autosomal dominant
PDX1,Pancreatic agenesis 1, Autosomal recessive
IPF1,Pancreatic agenesis 1, Autosomal recessive
MODY4,Pancreatic agenesis 1, Autosomal recessive
PAGEN1,Pancreatic agenesis 1, Autosomal recessive
POMP,Keratosis linearis with ichthyosis congenita and sclerosing keratoderma, Autosomal recessive
UMP1,Keratosis linearis with ichthyosis congenita and sclerosing keratoderma, Autosomal recessive
PRAAS2,Keratosis linearis with ichthyosis congenita and sclerosing keratoderma, Autosomal recessive
B3GLCT,Peters-plus syndrome, Autosomal recessive
B3GALTL,Peters-plus syndrome, Autosomal recessive
B3GTL,Peters-plus syndrome, Autosomal recessive
BRCA2,Glioblastoma 3, Autosomal recessive
BRCA2,Fanconi anemia, Autosomal recessive
BRCA2,Medulloblastoma, Somatic mutation
FANCD1,Glioblastoma 3, Autosomal recessive
FANCD1,Fanconi anemia, Autosomal recessive
FANCD1,Medulloblastoma, Somatic mutation
BROVCA2,Glioblastoma 3, Autosomal recessive
BROVCA2,Fanconi anemia, Autosomal recessive
BROVCA2,Medulloblastoma, Somatic mutation
GLM3,Glioblastoma 3, Autosomal recessive
GLM3,Fanconi anemia, Autosomal recessive
GLM3,Medulloblastoma, Somatic mutation
PNCA2,Glioblastoma 3, Autosomal recessive
PNCA2,Fanconi anemia, Autosomal recessive
PNCA2,Medulloblastoma, Somatic mutation
PAPA5,Polydactyly, Autosomal recessive
MAB21L1,Cerebellar, Autosomal recessive
COFG,Cerebellar, Autosomal recessive
SPG20,Troyer syndrome, Autosomal recessive
RFXAP,Bare lymphocyte syndrome, Autosomal recessive
EXOSC8,Pontocerebellar hypoplasia, Autosomal recessive
OIP2,Pontocerebellar hypoplasia, Autosomal recessive
RRP43,Pontocerebellar hypoplasia, Autosomal recessive
PCH1C,Pontocerebellar hypoplasia, Autosomal recessive
UFM1,Leukodystrophy, Autosomal recessive
HLD14,Leukodystrophy, Autosomal recessive
FREM2,Fraser syndrome 2, Autosomal recessive
FREM2,Cryptophthalmos, Autosomal recessive
FRASRS2,Fraser syndrome 2, Autosomal recessive
FRASRS2,Cryptophthalmos, Autosomal recessive
CRYPTOP,Fraser syndrome 2, Autosomal recessive
CRYPTOP,Cryptophthalmos, Autosomal recessive
SPG24,Spastic paraplegia 24, Autosomal recessive
COG6,Congenital disorder of glycosylation, Autosomal recessive
COG6,Shaheen syndrome, Autosomal recessive
COD2,Congenital disorder of glycosylation, Autosomal recessive
COD2,Shaheen syndrome, Autosomal recessive
KIAA1134,Congenital disorder of glycosylation, Autosomal recessive
KIAA1134,Shaheen syndrome, Autosomal recessive
CDG2L,Congenital disorder of glycosylation, Autosomal recessive
CDG2L,Shaheen syndrome, Autosomal recessive
SHNS,Congenital disorder of glycosylation, Autosomal recessive
SHNS,Shaheen syndrome, Autosomal recessive
SLC25A15,Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, Autosomal recessive
ORNT1,Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, Autosomal recessive
HHH,Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, Autosomal recessive
TNFSF11,Osteopetrosis, Autosomal recessive
OPGL,Osteopetrosis, Autosomal recessive
TRANCE,Osteopetrosis, Autosomal recessive
OPTB2,Osteopetrosis, Autosomal recessive
SUCLA2,Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria), Autosomal recessive
MTDPS5,Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria), Autosomal recessive
LPAR6,Hypotrichosis 8, Autosomal recessive
LPAR6,Woolly hair, Autosomal recessive
P2RY5,Hypotrichosis 8, Autosomal recessive
P2RY5,Woolly hair, Autosomal recessive
P2Y5,Hypotrichosis 8, Autosomal recessive
P2Y5,Woolly hair, Autosomal recessive
LAH3,Hypotrichosis 8, Autosomal recessive
LAH3,Woolly hair, Autosomal recessive
ARWH1,Hypotrichosis 8, Autosomal recessive
ARWH1,Woolly hair, Autosomal recessive
HYPT8,Hypotrichosis 8, Autosomal recessive
HYPT8,Woolly hair, Autosomal recessive
RCBTB1,Retinal dystrophy with or without extraocular anomalies, Autosomal recessive
CLLD7,Retinal dystrophy with or without extraocular anomalies, Autosomal recessive
GLP,Retinal dystrophy with or without extraocular anomalies, Autosomal recessive
RDEOA,Retinal dystrophy with or without extraocular anomalies, Autosomal recessive
RNASEH2B,Aicardi-Goutieres syndrome 2, Autosomal recessive
DLEU8,Aicardi-Goutieres syndrome 2, Autosomal recessive
FLJ11712,Aicardi-Goutieres syndrome 2, Autosomal recessive
AGS2,Aicardi-Goutieres syndrome 2, Autosomal recessive
ATP7B,Wilson disease, Autosomal recessive
WND,Wilson disease, Autosomal recessive
ALG11,Congenital disorder of glycosylation, Autosomal recessive
KIAA1266,Congenital disorder of glycosylation, Autosomal recessive
CDG1P,Congenital disorder of glycosylation, Autosomal recessive
PIBF1,Joubert syndrome 33, Autosomal recessive
JBTS33,Joubert syndrome 33, Autosomal recessive
CLN5,Ceroid lipofuscinosis, Autosomal recessive
FBXL3,Intellectual developmental disorder with short stature, Autosomal recessive
FBXL3A,Intellectual developmental disorder with short stature, Autosomal recessive
FBL3,Intellectual developmental disorder with short stature, Autosomal recessive
IDDSFAS,Intellectual developmental disorder with short stature, Autosomal recessive
EDNRB,Waardenburg syndrome, Autosomal dominant
EDNRB,ABCD syndrome, Autosomal recessive
HSCR2,Waardenburg syndrome, Autosomal dominant
HSCR2,ABCD syndrome, Autosomal recessive
ABCDS,Waardenburg syndrome, Autosomal dominant
ABCDS,ABCD syndrome, Autosomal recessive
WS4A,Waardenburg syndrome, Autosomal dominant
WS4A,ABCD syndrome, Autosomal recessive
SLITRK6,Deafness and myopia, Autosomal recessive
DFNMYP,Deafness and myopia, Autosomal recessive
GPC6,Omodysplasia 1, Autosomal recessive
OMIMD1,Omodysplasia 1, Autosomal recessive
TGDS,Catel-Manzke syndrome, Autosomal recessive
SDR2E1,Catel-Manzke syndrome, Autosomal recessive
CATMANS,Catel-Manzke syndrome, Autosomal recessive
CLDN10,HELIX syndrome, Autosomal recessive
OSPL,HELIX syndrome, Autosomal recessive
CPETRL3,HELIX syndrome, Autosomal recessive
HELIX,HELIX syndrome, Autosomal recessive
DNAJC3,Ataxia, Autosomal recessive
PRKRI,Ataxia, Autosomal recessive
P58,Ataxia, Autosomal recessive
ACPHD,Ataxia, Autosomal recessive
PCCA,Propionicacidemia, Autosomal recessive
NALCN,Hypotonia, Autosomal recessive
IHPRF1,Hypotonia, Autosomal recessive
CLIFAHDD,Hypotonia, Autosomal recessive
ERCC5,Xeroderma pigmentosum, Autosomal recessive
ERCC5,Xeroderma pigmentosum, Autosomal recessive
ERCC5,Cerebrooculofacioskeletal syndrome 3, Autosomal recessive
XPG,Xeroderma pigmentosum, Autosomal recessive
XPG,Xeroderma pigmentosum, Autosomal recessive
XPG,Cerebrooculofacioskeletal syndrome 3, Autosomal recessive
COFS3,Xeroderma pigmentosum, Autosomal recessive
COFS3,Xeroderma pigmentosum, Autosomal recessive
COFS3,Cerebrooculofacioskeletal syndrome 3, Autosomal recessive
SLC10A2,Bile acid malabsorption, Autosomal recessive
NTCP2,Bile acid malabsorption, Autosomal recessive
PBAM,Bile acid malabsorption, Autosomal recessive
LIG4,LIG4 syndrome, Autosomal recessive
LIG4S,LIG4 syndrome, Autosomal recessive
NAXD,Encephalopathy, Autosomal recessive
CARKD,Encephalopathy, Autosomal recessive
PEBEL2,Encephalopathy, Autosomal recessive
CARS2,Combined oxidative phosphorylation deficiency 27, Autosomal recessive
COXPD27,Combined oxidative phosphorylation deficiency 27, Autosomal recessive
F7,Factor VII deficiency, Autosomal recessive
F10,Factor X deficiency, Autosomal recessive
MRT9,Mental retardation, Autosomal recessive
MRT26,Mental retardation, Autosomal recessive
OSGEP,Galloway-Mowat syndrome 3, Autosomal recessive
FLJ20411,Galloway-Mowat syndrome 3, Autosomal recessive
GAMOS3,Galloway-Mowat syndrome 3, Autosomal recessive
PNP,Immunodeficiency due to purine nucleoside phosphorylase deficiency, Autosomal recessive
NP,Immunodeficiency due to purine nucleoside phosphorylase deficiency, Autosomal recessive
RPGRIP1,Leber congenital amaurosis 6, Autosomal recessive
LCA6,Leber congenital amaurosis 6, Autosomal recessive
CORD13,Leber congenital amaurosis 6, Autosomal recessive
SALL2,Coloboma, Autosomal recessive
HSAL2,Coloboma, Autosomal recessive
COLB,Coloboma, Autosomal recessive
TRAC,Immunodeficiency 7, Autosomal recessive
TRCA,Immunodeficiency 7, Autosomal recessive
TRA,Immunodeficiency 7, Autosomal recessive
IMD7,Immunodeficiency 7, Autosomal recessive
SLC7A7,Lysinuric protein intolerance, Autosomal recessive
LPI,Lysinuric protein intolerance, Autosomal recessive
CEBPE,Specific granule deficiency, Autosomal recessive
CRP1,Specific granule deficiency, Autosomal recessive
MYH7,Myopathy, Autosomal recessive
CMH1,Myopathy, Autosomal recessive
MPD1,Myopathy, Autosomal recessive
CMD1S,Myopathy, Autosomal recessive
SPMM,Myopathy, Autosomal recessive
SPMD,Myopathy, Autosomal recessive
PCK2,PEPCK deficiency, Autosomal recessive
PEPCK2,PEPCK deficiency, Autosomal recessive
DFNB5,Deafness, Autosomal recessive
SPG32,Spastic paraplegia 32, Autosomal recessive
IRF9,Immunodeficiency 65, Autosomal recessive
ISGF3,Immunodeficiency 65, Autosomal recessive
ISGF3G,Immunodeficiency 65, Autosomal recessive
TGM1,Ichthyosis, Autosomal recessive
ICR2,Ichthyosis, Autosomal recessive
ARCI1,Ichthyosis, Autosomal recessive
COCH,Deafness, Autosomal recessive
DFNA9,Deafness, Autosomal recessive
DFNB110,Deafness, Autosomal recessive
AP4S1,Spastic paraplegia 52, Autosomal recessive
CPSQ6,Spastic paraplegia 52, Autosomal recessive
SPG52,Spastic paraplegia 52, Autosomal recessive
NUBPL,Mitochondrial complex I deficiency, Autosomal recessive
IND1,Mitochondrial complex I deficiency, Autosomal recessive
MC1DN21,Mitochondrial complex I deficiency, Autosomal recessive
CFL2,Nemaline myopathy 7, Autosomal recessive
NEM7,Nemaline myopathy 7, Autosomal recessive
PPP2R3C,Gonadal dysgenesis, Autosomal recessive
G5PR,Gonadal dysgenesis, Autosomal recessive
GDRM,Gonadal dysgenesis, Autosomal recessive
SPGF36,Gonadal dysgenesis, Autosomal recessive
SEC23A,Craniolenticulosutural dysplasia, Autosomal recessive
CLSD,Craniolenticulosutural dysplasia, Autosomal recessive
TRAPPC6B,Neurodevelopmental disorder with microcephaly, Autosomal recessive
TPC6,Neurodevelopmental disorder with microcephaly, Autosomal recessive
NEDMEBA,Neurodevelopmental disorder with microcephaly, Autosomal recessive
FANCM,Spermatogenic failure 28, Autosomal recessive
FANCM,Premature ovarian failure 15, Autosomal recessive
KIAA1596,Spermatogenic failure 28, Autosomal recessive
KIAA1596,Premature ovarian failure 15, Autosomal recessive
SPGF28,Spermatogenic failure 28, Autosomal recessive
SPGF28,Premature ovarian failure 15, Autosomal recessive
POF15,Spermatogenic failure 28, Autosomal recessive
POF15,Premature ovarian failure 15, Autosomal recessive
MGAT2,Congenital disorder of glycosylation, Autosomal recessive
CDGS2,Congenital disorder of glycosylation, Autosomal recessive
CDG2A,Congenital disorder of glycosylation, Autosomal recessive
L2HGDH,L-2-hydroxyglutaric aciduria, Autosomal recessive
C14orf160,L-2-hydroxyglutaric aciduria, Autosomal recessive
L2HGA,L-2-hydroxyglutaric aciduria, Autosomal recessive
MYP18,Myopia 18, Autosomal recessive
NIN,Seckel syndrome 7, Autosomal recessive
KIAA1565,Seckel syndrome 7, Autosomal recessive
SCKL7,Seckel syndrome 7, Autosomal recessive
PYGL,Glycogen storage disease VI, Autosomal recessive
PTGER2,Asthma, Autosomal recessive
DDHD1,Spastic paraplegia 28, Autosomal recessive
PAPLA1,Spastic paraplegia 28, Autosomal recessive
KIAA1705,Spastic paraplegia 28, Autosomal recessive
SPG28,Spastic paraplegia 28, Autosomal recessive
GCH1,Hyperphenylalaninemia, Autosomal recessive
GCH1,Dystonia, Autosomal dominant
DYT5,Hyperphenylalaninemia, Autosomal recessive
DYT5,Dystonia, Autosomal dominant
HPABH4B,Hyperphenylalaninemia, Autosomal recessive
HPABH4B,Dystonia, Autosomal dominant
TMEM260,Structural heart defects and renal anomalies syndrome, Autosomal recessive
C14orf101,Structural heart defects and renal anomalies syndrome, Autosomal recessive
SHDRA,Structural heart defects and renal anomalies syndrome, Autosomal recessive
KIAA0586,Joubert syndrome 23, Autosomal recessive
KIAA0586,Short-rib thoracic dysplasia 14 with polydactyly, Autosomal recessive
TALPID3,Joubert syndrome 23, Autosomal recessive
TALPID3,Short-rib thoracic dysplasia 14 with polydactyly, Autosomal recessive
JBTS23,Joubert syndrome 23, Autosomal recessive
JBTS23,Short-rib thoracic dysplasia 14 with polydactyly, Autosomal recessive
SRTD14,Joubert syndrome 23, Autosomal recessive
SRTD14,Short-rib thoracic dysplasia 14 with polydactyly, Autosomal recessive
SIX6,Optic disc anomalies with retinal and/or macular dystrophy, Autosomal recessive
ODRMD,Optic disc anomalies with retinal and/or macular dystrophy, Autosomal recessive
TRMT5,Combined oxidative phosphorylation deficiency 26, Autosomal recessive
TRM5,Combined oxidative phosphorylation deficiency 26, Autosomal recessive
KIAA1393,Combined oxidative phosphorylation deficiency 26, Autosomal recessive
COXPD26,Combined oxidative phosphorylation deficiency 26, Autosomal recessive
MTHFD1,Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia, Autosomal recessive
MTHFD1,Neural tube defects, Autosomal recessive
MTHFC,Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia, Autosomal recessive
MTHFC,Neural tube defects, Autosomal recessive
CIMAH,Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia, Autosomal recessive
CIMAH,Neural tube defects, Autosomal recessive
FUT8,Congenital disorder of glycosylation with defective fucosylation 1, Autosomal recessive
CDGF1,Congenital disorder of glycosylation with defective fucosylation 1, Autosomal recessive
GPHN,Molybdenum cofactor deficiency C, Autosomal recessive
GPH,Molybdenum cofactor deficiency C, Autosomal recessive
KIAA1385,Molybdenum cofactor deficiency C, Autosomal recessive
GEPH,Molybdenum cofactor deficiency C, Autosomal recessive
MOCODC,Molybdenum cofactor deficiency C, Autosomal recessive
PIGH,Glycosylphosphatidylinositol biosynthesis defect 17, Autosomal recessive
RDH11,Retinal dystrophy, Autosomal recessive
PSDR1,Retinal dystrophy, Autosomal recessive
RALR1,Retinal dystrophy, Autosomal recessive
RDJCSS,Retinal dystrophy, Autosomal recessive
RDH12,Leber congenital amaurosis 13, Autosomal dominant
LCA13,Leber congenital amaurosis 13, Autosomal dominant
ZFYVE26,Spastic paraplegia 15, Autosomal recessive
KIAA0321,Spastic paraplegia 15, Autosomal recessive
SPG15,Spastic paraplegia 15, Autosomal recessive
SMOC1,Microphthalmia with limb anomalies, Autosomal recessive
OAS,Microphthalmia with limb anomalies, Autosomal recessive
DNAL1,Ciliary dyskinesia, Autosomal recessive
C14orf168,Ciliary dyskinesia, Autosomal recessive
CILD16,Ciliary dyskinesia, Autosomal recessive
COQ6,Coenzyme Q10 deficiency, Autosomal recessive
CGI10,Coenzyme Q10 deficiency, Autosomal recessive
COQ10D6,Coenzyme Q10 deficiency, Autosomal recessive
ALDH6A1,Methylmalonate semialdehyde dehydrogenase deficiency, Autosomal recessive
MMSDH,Methylmalonate semialdehyde dehydrogenase deficiency, Autosomal recessive
ABCD4,Methylmalonic aciduria and homocystinuria, Autosomal recessive
PXMP1L,Methylmalonic aciduria and homocystinuria, Autosomal recessive
P79R,Methylmalonic aciduria and homocystinuria, Autosomal recessive
PMP69,Methylmalonic aciduria and homocystinuria, Autosomal recessive
MAHCJ,Methylmalonic aciduria and homocystinuria, Autosomal recessive
NPC2,Niemann-pick disease, Autosomal recessive
HE1,Niemann-pick disease, Autosomal recessive
ISCA2,Multiple mitochondrial dysfunctions syndrome 4, Autosomal recessive
MMDS4,Multiple mitochondrial dysfunctions syndrome 4, Autosomal recessive
LTBP2,Microspherophakia and/or megalocornea, Autosomal recessive
LTBP2,Weill-Marchesani syndrome 3, Autosomal recessive
LTBP3,Microspherophakia and/or megalocornea, Autosomal recessive
LTBP3,Weill-Marchesani syndrome 3, Autosomal recessive
GLC3D,Microspherophakia and/or megalocornea, Autosomal recessive
GLC3D,Weill-Marchesani syndrome 3, Autosomal recessive
MSPKA,Microspherophakia and/or megalocornea, Autosomal recessive
MSPKA,Weill-Marchesani syndrome 3, Autosomal recessive
WMS3,Microspherophakia and/or megalocornea, Autosomal recessive
WMS3,Weill-Marchesani syndrome 3, Autosomal recessive
EIF2B2,Ovarioleukodystrophy, Autosomal recessive
EIF2B2,Leukoencephalopathy with vanishing white matter, Autosomal recessive
NEK9,Lethal congenital contracture syndrome 10, Autosomal recessive
NEK9,Arthrogryposis, Autosomal recessive
NERCC1,Lethal congenital contracture syndrome 10, Autosomal recessive
NERCC1,Arthrogryposis, Autosomal recessive
LCCS10,Lethal congenital contracture syndrome 10, Autosomal recessive
LCCS10,Arthrogryposis, Autosomal recessive
APUG,Lethal congenital contracture syndrome 10, Autosomal recessive
APUG,Arthrogryposis, Autosomal recessive
NC,Lethal congenital contracture syndrome 10, Autosomal recessive
NC,Arthrogryposis, Autosomal recessive
FLVCR2,Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome, Autosomal recessive
C14orf58,Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome, Autosomal recessive
CCT,Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome, Autosomal recessive
PVHH,Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome, Autosomal recessive
EPV,Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome, Autosomal recessive
TTLL5,Cone-rod dystrophy 19, Autosomal recessive
STAMP,Cone-rod dystrophy 19, Autosomal recessive
KIAA0998,Cone-rod dystrophy 19, Autosomal recessive
CORD19,Cone-rod dystrophy 19, Autosomal recessive
IFT43,Cranioectodermal dysplasia 3, Autosomal recessive
IFT43,Short-rib thoracic dysplasia 18 with polydactyly, Autosomal recessive
IFT43,Retinitis pigmentosa 81, Autosomal recessive
C14orf179,Cranioectodermal dysplasia 3, Autosomal recessive
C14orf179,Short-rib thoracic dysplasia 18 with polydactyly, Autosomal recessive
C14orf179,Retinitis pigmentosa 81, Autosomal recessive
CED3,Cranioectodermal dysplasia 3, Autosomal recessive
CED3,Short-rib thoracic dysplasia 18 with polydactyly, Autosomal recessive
CED3,Retinitis pigmentosa 81, Autosomal recessive
SRTD18,Cranioectodermal dysplasia 3, Autosomal recessive
SRTD18,Short-rib thoracic dysplasia 18 with polydactyly, Autosomal recessive
SRTD18,Retinitis pigmentosa 81, Autosomal recessive
RP81,Cranioectodermal dysplasia 3, Autosomal recessive
RP81,Short-rib thoracic dysplasia 18 with polydactyly, Autosomal recessive
RP81,Retinitis pigmentosa 81, Autosomal recessive
ESRRB,Deafness, Autosomal recessive
ESRL2,Deafness, Autosomal recessive
DFNB35,Deafness, Autosomal recessive
POMT2,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
POMT2,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
POMT2,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
MDDGA2,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
MDDGA2,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
MDDGA2,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
MDDGB2,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
MDDGB2,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
MDDGB2,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
MDDGC2,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
MDDGC2,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
MDDGC2,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
LGMDR14,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
LGMDR14,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
LGMDR14,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
GSTZ1,[Maleylacetoacetate isomerase deficiency], Autosomal recessive
MAAI,[Maleylacetoacetate isomerase deficiency], Autosomal recessive
MAAID,[Maleylacetoacetate isomerase deficiency], Autosomal recessive
VIPAS39,Arthrogryposis, Autosomal recessive
VIPAR,Arthrogryposis, Autosomal recessive
SPE39,Arthrogryposis, Autosomal recessive
C14orf133,Arthrogryposis, Autosomal recessive
GRD1,Graves disease, Autosomal recessive
TSHR,Hypothyroidism, Autosomal recessive
CHNG1,Hypothyroidism, Autosomal recessive
GALC,Krabbe disease, Autosomal recessive
ZC3H14,Mental retardation, Autosomal recessive
SUT2,Mental retardation, Autosomal recessive
MRT56,Mental retardation, Autosomal recessive
TTC8,Bardet-Biedl syndrome 8, Autosomal recessive
TTC8,Retinitis pigmentosa 51, Autosomal recessive
BBS8,Bardet-Biedl syndrome 8, Autosomal recessive
BBS8,Retinitis pigmentosa 51, Autosomal recessive
RP51,Bardet-Biedl syndrome 8, Autosomal recessive
RP51,Retinitis pigmentosa 51, Autosomal recessive
MCOP1,Microphthalmia, Autosomal recessive
TDP1,Spinocerebellar ataxia, Autosomal recessive
SCAN1,Spinocerebellar ataxia, Autosomal recessive
GPR68,Amelogenesis imperfecta, Autosomal recessive
OGR1,Amelogenesis imperfecta, Autosomal recessive
AI2A6,Amelogenesis imperfecta, Autosomal recessive
CCDC88C,Hydrocephalus, Autosomal recessive
HKRP2,Hydrocephalus, Autosomal recessive
DAPLE,Hydrocephalus, Autosomal recessive
KIAA1509,Hydrocephalus, Autosomal recessive
HYC1,Hydrocephalus, Autosomal recessive
SCA40,Hydrocephalus, Autosomal recessive
FBLN5,Cutis laxa, Autosomal recessive
ARMD3,Cutis laxa, Autosomal recessive
ADCL2,Cutis laxa, Autosomal recessive
ARCL1A,Cutis laxa, Autosomal recessive
HNARMD,Cutis laxa, Autosomal recessive
TRIP11,Osteochondrodysplasia, Autosomal recessive
TRIP11,Achondrogenesis, Autosomal recessive
TRIP230,Osteochondrodysplasia, Autosomal recessive
TRIP230,Achondrogenesis, Autosomal recessive
CEV14,Osteochondrodysplasia, Autosomal recessive
CEV14,Achondrogenesis, Autosomal recessive
ACG1A,Osteochondrodysplasia, Autosomal recessive
ACG1A,Achondrogenesis, Autosomal recessive
ODCD,Osteochondrodysplasia, Autosomal recessive
ODCD,Achondrogenesis, Autosomal recessive
SLC24A4,[Skin/hair/eye pigmentation 6, Autosomal recessive
SLC24A4,Amelogenesis imperfecta, Autosomal recessive
SLC24A4,[Skin/hair/eye pigmentation 6, Autosomal recessive
NCKX4,[Skin/hair/eye pigmentation 6, Autosomal recessive
NCKX4,Amelogenesis imperfecta, Autosomal recessive
NCKX4,[Skin/hair/eye pigmentation 6, Autosomal recessive
SHEP6,[Skin/hair/eye pigmentation 6, Autosomal recessive
SHEP6,Amelogenesis imperfecta, Autosomal recessive
SHEP6,[Skin/hair/eye pigmentation 6, Autosomal recessive
AI2A5,[Skin/hair/eye pigmentation 6, Autosomal recessive
AI2A5,Amelogenesis imperfecta, Autosomal recessive
AI2A5,[Skin/hair/eye pigmentation 6, Autosomal recessive
CBG,Corticosteroid-binding globulin deficiency, Autosomal dominant
SERPINA6,Corticosteroid-binding globulin deficiency, Autosomal dominant
SERPINA1,Hemorrhagic diathesis due to antithrombin Pittsburgh, Autosomal recessive
SERPINA1,Emphysema-cirrhosis, Autosomal recessive
SERPINA1,Emphysema due to AAT deficiency, Autosomal recessive
PI,Hemorrhagic diathesis due to antithrombin Pittsburgh, Autosomal recessive
PI,Emphysema-cirrhosis, Autosomal recessive
PI,Emphysema due to AAT deficiency, Autosomal recessive
AAT,Hemorrhagic diathesis due to antithrombin Pittsburgh, Autosomal recessive
AAT,Emphysema-cirrhosis, Autosomal recessive
AAT,Emphysema due to AAT deficiency, Autosomal recessive
GSC,Short stature, Autosomal recessive
SAMS,Short stature, Autosomal recessive
GLRX5,Anemia, Autosomal recessive
GLRX5,Spasticity, Autosomal recessive
C14orf87,Anemia, Autosomal recessive
C14orf87,Spasticity, Autosomal recessive
PRO1238,Anemia, Autosomal recessive
PRO1238,Spasticity, Autosomal recessive
FLB4739,Anemia, Autosomal recessive
FLB4739,Spasticity, Autosomal recessive
PRSA,Anemia, Autosomal recessive
PRSA,Spasticity, Autosomal recessive
SIDBA3,Anemia, Autosomal recessive
SIDBA3,Spasticity, Autosomal recessive
SPAHGC,Anemia, Autosomal recessive
SPAHGC,Spasticity, Autosomal recessive
AK7,Spermatogenic failure 27, Autosomal recessive
SPGF27,Spermatogenic failure 27, Autosomal recessive
VRK1,Pontocerebellar hypoplasia type 1A, Autosomal recessive
PCH1A,Pontocerebellar hypoplasia type 1A, Autosomal recessive
EML1,Band heterotopia, Autosomal recessive
EMAPL,Band heterotopia, Autosomal recessive
EMAP,Band heterotopia, Autosomal recessive
BH,Band heterotopia, Autosomal recessive
